SEANCE,GROUPE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2010-04-01,11,100010,MONOPRIX,232.0,232.5,232.0,234.0,298.0,206.0,9356.1
2010-04-01,11,110025,SFBT,12.72,12.6,12.35,12.72,3825.0,174.0,8150.95
2010-04-01,11,120040,TUNISAIR,2.56,2.5,2.5,2.56,6990.0,161.0,7497.14
2010-04-01,11,130055,BTE (ADP),31.0,31.0,31.0,31.0,694.0,72.0,1514.0
2010-04-01,11,140070,SPDIT - SICAF,6.05,6.2,6.05,6.2,3180.0,101.0,9468.5
2010-04-01,11,160015,ATTIJARI BANK,21.99,21.7,21.46,21.99,2484.0,275.0,3959.07
2010-04-01,11,180045,BIAT,64.1,64.11,63.97,64.5,1594.0,2610.0,2085.36
2010-04-01,11,190060,BH,27.65,27.65,27.64,27.65,680.0,81.0,8799.5
2010-04-01,11,210090,TUNISIE LEASING,25.3,25.2,24.41,25.3,1708.0,254.0,3077.38
2010-04-01,11,220005,BT,97.01,98.0,97.0,98.0,988.0,329.0,6526.13
2010-04-01,11,260095,STB,14.4,14.51,14.4,14.52,37201.0,5653.0,9443.54
2010-04-01,11,310060,BNA,11.48,11.59,11.48,11.72,4237.0,164.0,9110.67
2010-04-01,11,340005,AMEN BANK,53.0,53.3,53.0,53.3,368.0,21.0,9599.4
2010-04-01,11,360035,ATB,8.08,8.07,8.07,8.08,5439.0,54.0,3898.83
2010-04-01,11,390010,UIB,18.4,18.49,18.3,18.5,9582.0,5917.0,6534.87
2010-04-01,11,400005,SIMPAR,37.6,37.6,37.6,37.6,3250.0,112.0,2200.0
2010-04-01,11,410020,TUNINVEST-SICAR,11.52,11.55,11.52,11.55,835.0,5.0,9642.9
2010-04-01,11,420085,CIL,28.8,28.98,28.8,29.0,704.0,92.0,312.7
2010-04-01,11,470010,ATL,5.3,5.4,5.3,5.4,15550.0,448.0,3102.1
