SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2011-01-03,TN0003400207,AB DA 1/27,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003400108,AB DA 26 3/37,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003400116,AB DA 29 3/40,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003400371,AB DA 3/37 281209,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003400157,AB DA 34 2/59,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003400272,ABDA 1/14 11122007,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0007250012,ADWYA,6.21,6.3,6.2,6.3,1744,17,10897.19
2011-01-03,TN0007250020,ADWYA DA 1/10 2007,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0002300366,AIR LIQ DA1/4 0999,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0002300374,AIR LIQ DA1/6 0601,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0002300408,AIR LIQ DA1/8 0903,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0002300358,AIR LIQUDE TSIE,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0002300457,AL DA 1/11 030908,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0002300465,AL DA 1/12 030909,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003800737,ALK DA 1/10 240603,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003800711,ALKIM DA,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003800729,ALKIM DA 04,0.0,0.0,0.0,0.0,0,0,0.0
2011-01-03,TN0003800703,ALKIMIA,34.0,34.0,34.0,34.0,30,1,1020.0
