SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2014-01-02,905001,TUNINDEX,4411.85,4381.32,0.7,4418.37,4384.8,4384.8
2014-01-02,905002,INDSF,2971.88,2962.69,0.31,2978.47,2959.85,2964.39
2014-01-02,905003,INDBQ,2662.88,2656.03,0.26,2669.59,2650.08,2656.03
2014-01-02,905004,INDAS,9074.78,9003.58,0.79,9091.92,9034.79,9077.86
2014-01-02,905005,INSFI,4464.31,4446.7,0.4,4471.36,4436.41,4446.7
2014-01-02,905008,INDSC,3446.96,3402.37,1.31,3446.96,3400.42,3422.87
2014-01-02,905009,INDDI,5073.42,5013.46,1.2,5073.42,5000.93,5047.44
2014-01-02,905013,INBCO,2640.52,2617.44,0.88,2640.52,2618.64,2618.64
2014-01-02,905014,INAUE,1986.6,1982.71,0.2,2015.33,1981.63,1999.93
2014-01-02,905015,INAAB,2813.01,2784.62,1.02,2813.01,2786.15,2786.15
2014-01-02,905017,INDIN,1759.92,1726.41,1.94,1770.55,1728.11,1728.11
2014-01-02,905018,INBMC,1242.02,1211.99,2.48,1250.31,1211.99,1211.99
2014-01-02,905020,INDMB,2312.67,2333.25,-0.88,2336.19,2300.91,2300.91
2014-01-02,905028,TUNINDEX20,1766.88,1753.16,0.78,1768.28,1754.48,1754.82
2014-01-03,905001,TUNINDEX,4384.9,4411.85,-0.61,4426.51,4384.9,4413.84
2014-01-03,905002,INDSF,2930.09,2971.88,-1.41,2975.48,2929.38,2970.4
2014-01-03,905003,INDBQ,2618.08,2662.88,-1.68,2665.19,2617.25,2659.86
2014-01-03,905004,INDAS,9077.47,9074.78,0.03,9150.66,9077.47,9120.49
2014-01-03,905005,INSFI,4453.46,4464.31,-0.24,4481.09,4441.43,4467.68
2014-01-03,905008,INDSC,3429.22,3446.96,-0.51,3458.5,3429.22,3446.96
2014-01-03,905009,INDDI,5057.11,5073.42,-0.32,5094.32,5057.11,5073.42
2014-01-03,905013,INBCO,2661.33,2640.52,0.79,2672.86,2642.95,2643.15
2014-01-03,905014,INAUE,1981.63,1986.6,-0.25,1985.03,1963.34,1983.2
2014-01-03,905015,INAAB,2842.03,2813.01,1.03,2859.5,2814.25,2814.25
2014-01-03,905017,INDIN,1778.55,1759.92,1.06,1784.85,1762.32,1767.45
2014-01-03,905018,INBMC,1255.89,1242.02,1.12,1260.52,1242.87,1247.64
2014-01-03,905020,INDMB,2312.46,2312.67,-0.01,2336.19,2306.79,2306.79
2014-01-03,905028,TUNINDEX20,1760.45,1766.88,-0.36,1775.06,1760.45,1766.49
2014-01-06,905001,TUNINDEX,4361.62,4384.9,-0.53,4378.92,4346.9,4364.39
2014-01-06,905002,INDSF,2912.5,2930.09,-0.6,2921.83,2897.49,2908.26
2014-01-06,905003,INDBQ,2605.17,2618.08,-0.49,2609.97,2586.54,2594.27
2014-01-06,905004,INDAS,8964.22,9077.47,-1.25,9077.47,8964.22,9077.47
2014-01-06,905005,INSFI,4409.74,4453.46,-0.98,4453.46,4409.74,4453.46
2014-01-06,905008,INDSC,3424.45,3429.22,-0.14,3431.68,3415.64,3427.57
2014-01-06,905009,INDDI,5049.2,5057.11,-0.16,5058.94,5034.6,5054.38
2014-01-06,905013,INBCO,2660.21,2661.33,-0.04,2672.06,2650.68,2650.68
2014-01-06,905014,INAUE,1992.88,1981.63,0.57,1992.88,1964.41,1981.63
2014-01-06,905015,INAAB,2838.45,2842.03,-0.13,2854.16,2830.55,2830.55
2014-01-06,905017,INDIN,1754.29,1778.55,-1.36,1783.96,1748.65,1779.34
2014-01-06,905018,INBMC,1235.59,1255.89,-1.62,1258.81,1234.44,1256.49
2014-01-06,905020,INDMB,2311.0,2312.46,-0.06,2316.88,2291.88,2303.64
2014-01-06,905028,TUNINDEX20,1751.69,1760.45,-0.5,1758.07,1743.35,1752.1
2014-01-07,905001,TUNINDEX,4343.16,4361.62,-0.42,4377.12,4337.29,4360.33
2014-01-07,905002,INDSF,2890.84,2912.5,-0.74,2934.41,2888.07,2909.79
2014-01-07,905003,INDBQ,2584.32,2605.17,-0.8,2629.68,2581.51,2601.02
2014-01-07,905004,INDAS,8894.62,8964.22,-0.78,9012.78,8824.54,8964.22
2014-01-07,905005,INSFI,4396.62,4409.74,-0.3,4431.35,4368.42,4424.85
2014-01-07,905008,INDSC,3424.58,3424.45,0.0,3429.73,3394.66,3428.71
2014-01-07,905009,INDDI,5053.18,5049.2,0.08,5061.71,5003.57,5047.56
2014-01-07,905013,INBCO,2657.23,2660.21,-0.11,2665.85,2647.38,2661.32
2014-01-07,905014,INAUE,1972.24,1992.88,-1.04,1991.31,1941.41,1974.09
2014-01-07,905015,INAAB,2838.97,2838.45,0.02,2850.47,2824.48,2838.45
2014-01-07,905017,INDIN,1752.83,1754.29,-0.08,1761.2,1747.7,1754.0
2014-01-07,905018,INBMC,1235.61,1235.59,0.0,1242.46,1235.32,1235.32
2014-01-07,905020,INDMB,2344.74,2311.0,1.46,2352.16,2313.94,2316.88
2014-01-07,905028,TUNINDEX20,1742.31,1751.69,-0.54,1757.49,1738.74,1750.21
2014-01-08,905001,TUNINDEX,4344.26,4343.16,0.03,4348.97,4319.56,4344.43
2014-01-08,905002,INDSF,2897.79,2890.84,0.24,2897.79,2870.07,2892.18
2014-01-08,905003,INDBQ,2590.06,2584.32,0.22,2590.06,2562.96,2586.83
2014-01-08,905004,INDAS,8959.63,8894.62,0.73,9011.27,8775.7,8953.22
2014-01-08,905005,INSFI,4399.45,4396.62,0.06,4408.99,4393.7,4395.7
2014-01-08,905008,INDSC,3390.4,3424.58,-1.0,3424.91,3390.4,3424.31
2014-01-08,905009,INDDI,4999.69,5053.18,-1.06,5056.51,4999.69,5052.63
2014-01-08,905013,INBCO,2670.82,2657.23,0.51,2670.82,2652.95,2658.62
2014-01-08,905014,INAUE,1953.96,1972.24,-0.93,1980.07,1952.13,1980.07
2014-01-08,905015,INAAB,2857.77,2838.97,0.66,2857.77,2834.56,2838.23
2014-01-08,905017,INDIN,1740.9,1752.83,-0.68,1757.12,1731.47,1755.65
2014-01-08,905018,INBMC,1224.45,1235.61,-0.9,1239.41,1222.09,1238.04
2014-01-08,905020,INDMB,2361.34,2344.74,0.71,2375.44,2347.68,2347.68
2014-01-08,905028,TUNINDEX20,1743.72,1742.31,0.08,1745.33,1730.02,1743.07
2014-01-09,905001,TUNINDEX,4339.18,4344.26,-0.12,4351.89,4323.37,4351.85
2014-01-09,905002,INDSF,2887.12,2897.79,-0.37,2900.65,2882.97,2900.65
2014-01-09,905003,INDBQ,2578.84,2590.06,-0.43,2593.4,2575.39,2593.4
2014-01-09,905004,INDAS,8942.49,8959.63,-0.19,8948.2,8885.35,8896.78
2014-01-09,905005,INSFI,4399.57,4399.45,0.0,4408.5,4387.89,4396.68
2014-01-09,905008,INDSC,3408.64,3390.4,0.54,3437.22,3378.82,3431.76
2014-01-09,905009,INDDI,5032.55,4999.69,0.66,5077.31,4980.49,5068.24
2014-01-09,905013,INBCO,2670.96,2670.82,0.01,2670.96,2652.8,2668.65
2014-01-09,905014,INAUE,1951.88,1953.96,-0.11,1965.98,1938.3,1938.3
2014-01-09,905015,INAAB,2859.18,2857.77,0.05,2859.18,2839.57,2857.52
2014-01-09,905017,INDIN,1744.18,1740.9,0.19,1744.18,1719.4,1740.0
2014-01-09,905018,INBMC,1228.01,1224.45,0.29,1228.01,1211.69,1226.28
2014-01-09,905020,INDMB,2358.33,2361.34,-0.13,2367.15,2358.33,2361.27
2014-01-09,905028,TUNINDEX20,1741.78,1743.72,-0.11,1749.18,1734.37,1749.18
2014-01-10,905001,TUNINDEX,4360.02,4339.18,0.48,4363.95,4338.27,4338.92
2014-01-10,905002,INDSF,2901.36,2887.12,0.49,2901.36,2875.38,2890.48
2014-01-10,905003,INDBQ,2595.28,2578.84,0.64,2595.28,2571.49,2581.0
2014-01-10,905004,INDAS,8951.35,8942.49,0.1,9002.48,8792.99,9002.48
2014-01-10,905005,INSFI,4385.25,4399.57,-0.33,4415.07,4371.1,4399.57
2014-01-10,905008,INDSC,3378.11,3408.64,-0.9,3411.75,3361.86,3406.89
2014-01-10,905009,INDDI,4979.9,5032.55,-1.05,5040.6,4956.8,5032.55
2014-01-10,905013,INBCO,2724.79,2670.96,2.02,2724.79,2673.6,2673.6
2014-01-10,905014,INAUE,1964.15,1951.88,0.63,1967.54,1935.15,1951.88
2014-01-10,905015,INAAB,2925.62,2859.18,2.32,2925.62,2862.55,2862.55
2014-01-10,905017,INDIN,1749.94,1744.18,0.33,1765.06,1739.77,1749.58
2014-01-10,905018,INBMC,1232.03,1228.01,0.33,1248.16,1225.3,1232.28
2014-01-10,905020,INDMB,2349.92,2358.33,-0.36,2388.11,2349.92,2355.77
2014-01-10,905028,TUNINDEX20,1755.58,1741.78,0.79,1755.58,1744.12,1744.54
2014-01-15,905001,TUNINDEX,4380.11,4360.02,0.46,4380.54,4362.54,4364.74
2014-01-15,905002,INDSF,2914.77,2901.36,0.46,2915.3,2903.97,2907.55
2014-01-15,905003,INDBQ,2606.36,2595.28,0.43,2606.36,2597.68,2600.35
2014-01-15,905004,INDAS,8999.91,8951.35,0.54,9017.05,8999.91,9017.05
2014-01-15,905005,INSFI,4414.95,4385.25,0.68,4422.17,4366.97,4385.74
2014-01-15,905008,INDSC,3391.53,3378.11,0.4,3393.59,3356.52,3356.52
2014-01-15,905009,INDDI,5008.32,4979.9,0.57,5008.87,4949.9,4949.9
2014-01-15,905013,INBCO,2730.51,2724.79,0.21,2737.35,2729.89,2733.7
2014-01-15,905014,INAUE,1985.05,1964.15,1.06,1988.44,1955.51,1973.54
2014-01-15,905015,INAAB,2930.35,2925.62,0.16,2937.58,2930.35,2936.33
2014-01-15,905017,INDIN,1762.27,1749.94,0.7,1762.27,1741.77,1748.73
2014-01-15,905018,INBMC,1242.92,1232.03,0.88,1247.1,1232.01,1233.31
2014-01-15,905020,INDMB,2367.06,2349.92,0.73,2370.5,2358.74,2370.5
2014-01-15,905028,TUNINDEX20,1768.0,1755.58,0.71,1768.0,1757.85,1757.85
2014-01-16,905001,TUNINDEX,4380.78,4380.11,0.02,4380.78,4336.54,4377.24
2014-01-16,905002,INDSF,2917.21,2914.77,0.08,2917.21,2889.38,2913.34
2014-01-16,905003,INDBQ,2615.36,2606.36,0.35,2615.36,2580.22,2606.13
2014-01-16,905004,INDAS,8829.49,8999.91,-1.89,8974.2,8789.5,8925.64
2014-01-16,905005,INSFI,4388.42,4414.95,-0.6,4433.42,4383.61,4421.47
2014-01-16,905008,INDSC,3403.84,3391.53,0.36,3403.84,3368.83,3386.55
2014-01-16,905009,INDDI,5028.73,5008.32,0.41,5028.73,4983.62,5005.86
2014-01-16,905013,INBCO,2726.87,2730.51,-0.13,2732.32,2674.04,2727.68
2014-01-16,905014,INAUE,1986.12,1985.05,0.05,2003.61,1964.69,1967.82
2014-01-16,905015,INAAB,2925.9,2930.35,-0.15,2930.09,2863.64,2929.85
2014-01-16,905017,INDIN,1754.73,1762.27,-0.43,1759.72,1742.73,1757.74
2014-01-16,905018,INBMC,1235.89,1242.92,-0.57,1241.88,1228.08,1239.49
2014-01-16,905020,INDMB,2390.97,2367.06,1.01,2399.81,2376.37,2388.13
2014-01-16,905028,TUNINDEX20,1764.93,1768.0,-0.17,1767.19,1746.3,1767.19
2014-01-17,905001,TUNINDEX,4385.68,4380.78,0.11,4385.68,4367.39,4379.28
2014-01-17,905002,INDSF,2923.55,2917.21,0.22,2923.55,2910.8,2914.53
2014-01-17,905003,INDBQ,2620.77,2615.36,0.21,2622.32,2607.74,2613.76
2014-01-17,905004,INDAS,8811.51,8829.49,-0.2,8829.49,8723.69,8772.36
2014-01-17,905005,INSFI,4413.19,4388.42,0.56,4434.72,4389.61,4389.61
2014-01-17,905008,INDSC,3400.53,3403.84,-0.1,3403.1,3375.75,3401.38
2014-01-17,905009,INDDI,5025.5,5028.73,-0.06,5030.39,4984.42,5024.66
2014-01-17,905013,INBCO,2727.29,2726.87,0.02,2735.71,2699.39,2728.74
2014-01-17,905014,INAUE,1969.92,1986.12,-0.82,2003.35,1953.45,2003.35
2014-01-17,905015,INAAB,2931.81,2925.9,0.2,2940.61,2899.5,2925.41
2014-01-17,905017,INDIN,1755.19,1754.73,0.03,1763.49,1746.69,1760.59
2014-01-17,905018,INBMC,1234.9,1235.89,-0.08,1249.26,1230.31,1241.35
2014-01-17,905020,INDMB,2389.8,2390.97,-0.05,2404.5,2386.73,2390.97
2014-01-17,905028,TUNINDEX20,1768.03,1764.93,0.18,1769.15,1760.0,1763.86
2014-01-20,905001,TUNINDEX,4383.1,4385.68,-0.06,4393.43,4365.47,4387.57
2014-01-20,905002,INDSF,2927.53,2923.55,0.14,2927.53,2914.19,2924.86
2014-01-20,905003,INDBQ,2624.04,2620.77,0.12,2624.04,2610.52,2621.34
2014-01-20,905004,INDAS,8840.08,8811.51,0.32,8868.65,8791.52,8868.65
2014-01-20,905005,INSFI,4417.72,4413.19,0.1,4423.73,4381.95,4413.19
2014-01-20,905008,INDSC,3403.15,3400.53,0.08,3415.49,3389.06,3403.96
2014-01-20,905009,INDDI,5023.38,5025.5,-0.04,5041.6,4999.69,5031.18
