SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2022-03-01,905001,TUNINDEX          ,6976.87,7046.01,-0.981,6976.87,6976.87
2022-03-01,905002,STES FINANCIERES  ,4289.02,4326.02,-0.855,4289.02,4289.02
2022-03-01,905003,BANQUES           ,3912.36,3953.41,-1.038,3912.36,3912.36
2022-03-01,905004,ASSURANCES        ,12468.03,12468.02,0.0,12468.03,12468.03
2022-03-01,905005,SERVICES FINANCIER,5849.11,5794.63,0.94,5849.11,5849.11
2022-03-01,905008,SERVICES AUX CONSO,2758.85,2741.23,0.643,2758.85,2758.85
2022-03-01,905009,DISTRIBUTION      ,4346.56,4318.79,0.643,4346.56,4346.56
2022-03-01,905013,BIENS CONSOMMATION,8703.7,8863.2,-1.8,8703.7,8703.7
2022-03-01,905015,AGROALIMENT BOISSO,11273.85,11474.9,-1.752,11273.85,11273.85
2022-03-01,905016,PROD MENAGER SOIN ,2376.6,2423.98,-1.955,2376.6,2376.6
2022-03-01,905017,INDUSTRIES        ,1317.98,1320.92,-0.223,1317.98,1317.98
2022-03-01,905018,BATIM MATE CONSTRU,563.22,571.15,-1.388,563.22,563.22
2022-03-01,905020,MATERIAUX DE BASE ,3535.11,3544.29,-0.259,3535.11,3535.11
2022-03-01,905028,TUNINDEX20        ,3004.98,3041.98,-1.216,3004.98,3004.98
2022-04-01,905001,TUNINDEX          ,6960.3,6976.87,-0.237,6976.87,6960.3
2022-04-01,905002,STES FINANCIERES  ,4278.12,4289.01,-0.254,4289.02,4278.12
2022-04-01,905003,BANQUES           ,3906.06,3912.35,-0.161,3912.36,3906.06
2022-04-01,905004,ASSURANCES        ,12253.35,12468.02,-1.722,12468.03,12253.35
2022-04-01,905005,SERVICES FINANCIER,5860.5,5849.1,0.195,5860.5,5849.11
2022-04-01,905008,SERVICES AUX CONSO,2751.8,2758.85,-0.256,2758.85,2751.8
2022-04-01,905009,DISTRIBUTION      ,4335.44,4346.56,-0.256,4346.56,4335.44
2022-04-01,905013,BIENS CONSOMMATION,8713.39,8703.7,0.111,8713.39,8703.7
2022-04-01,905015,AGROALIMENT BOISSO,11271.32,11273.85,-0.022,11273.85,11271.32
2022-04-01,905016,PROD MENAGER SOIN ,2393.55,2376.6,0.713,2393.55,2376.6
