SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
03/01/2022   ;905001    ;TUNINDEX          ;6976.870            ;7046.010            ;-0.981              ;6976.870            ;6976.870            
03/01/2022   ;905002    ;STES FINANCIERES  ;4289.020            ;4326.020            ;-0.855              ;4289.020            ;4289.020            
03/01/2022   ;905003    ;BANQUES           ;3912.360            ;3953.410            ;-1.038              ;3912.360            ;3912.360            
03/01/2022   ;905004    ;ASSURANCES        ;12468.030           ;12468.020           ;0.000               ;12468.030           ;12468.030           
03/01/2022   ;905005    ;SERVICES FINANCIER;5849.110            ;5794.630            ;0.940               ;5849.110            ;5849.110            
03/01/2022   ;905008    ;SERVICES AUX CONSO;2758.850            ;2741.230            ;0.643               ;2758.850            ;2758.850            
03/01/2022   ;905009    ;DISTRIBUTION      ;4346.560            ;4318.790            ;0.643               ;4346.560            ;4346.560            
03/01/2022   ;905013    ;BIENS CONSOMMATION;8703.700            ;8863.200            ;-1.800              ;8703.700            ;8703.700            
03/01/2022   ;905015    ;AGROALIMENT BOISSO;11273.850           ;11474.900           ;-1.752              ;11273.850           ;11273.850           
03/01/2022   ;905016    ;PROD MENAGER SOIN ;2376.600            ;2423.980            ;-1.955              ;2376.600            ;2376.600            
03/01/2022   ;905017    ;INDUSTRIES        ;1317.980            ;1320.920            ;-0.223              ;1317.980            ;1317.980            
03/01/2022   ;905018    ;BATIM MATE CONSTRU;563.220             ;571.150             ;-1.388              ;563.220             ;563.220             
03/01/2022   ;905020    ;MATERIAUX DE BASE ;3535.110            ;3544.290            ;-0.259              ;3535.110            ;3535.110            
03/01/2022   ;905028    ;TUNINDEX20        ;3004.980            ;3041.980            ;-1.216              ;3004.980            ;3004.980            
04/01/2022   ;905001    ;TUNINDEX          ;6960.300            ;6976.870            ;-0.237              ;6976.870            ;6960.300            
04/01/2022   ;905002    ;STES FINANCIERES  ;4278.120            ;4289.010            ;-0.254              ;4289.020            ;4278.120            
04/01/2022   ;905003    ;BANQUES           ;3906.060            ;3912.350            ;-0.161              ;3912.360            ;3906.060            
04/01/2022   ;905004    ;ASSURANCES        ;12253.350           ;12468.020           ;-1.722              ;12468.030           ;12253.350           
04/01/2022   ;905005    ;SERVICES FINANCIER;5860.500            ;5849.100            ;0.195               ;5860.500            ;5849.110            
04/01/2022   ;905008    ;SERVICES AUX CONSO;2751.800            ;2758.850            ;-0.256              ;2758.850            ;2751.800            
04/01/2022   ;905009    ;DISTRIBUTION      ;4335.440            ;4346.560            ;-0.256              ;4346.560            ;4335.440            
04/01/2022   ;905013    ;BIENS CONSOMMATION;8713.390            ;8703.700            ;0.111               ;8713.390            ;8703.700            
04/01/2022   ;905015    ;AGROALIMENT BOISSO;11271.320           ;11273.850           ;-0.022              ;11273.850           ;11271.320           
04/01/2022   ;905016    ;PROD MENAGER SOIN ;2393.550            ;2376.600            ;0.713               ;2393.550            ;2376.600            
04/01/2022   ;905017    ;INDUSTRIES        ;1304.940            ;1317.980            ;-0.989              ;1317.980            ;1304.940            
04/01/2022   ;905018    ;BATIM MATE CONSTRU;562.860             ;563.220             ;-0.064              ;563.220             ;562.860             
04/01/2022   ;905020    ;MATERIAUX DE BASE ;3517.660            ;3535.110            ;-0.494              ;3535.110            ;3517.660            
04/01/2022   ;905028    ;TUNINDEX20        ;3000.380            ;3004.980            ;-0.153              ;3004.980            ;3000.380            
05/01/2022   ;905001    ;TUNINDEX          ;6975.520            ;6960.290            ;0.219               ;6976.870            ;6960.300            
05/01/2022   ;905002    ;STES FINANCIERES  ;4276.280            ;4278.120            ;-0.043              ;4289.020            ;4276.280            
05/01/2022   ;905003    ;BANQUES           ;3903.500            ;3906.060            ;-0.066              ;3912.360            ;3903.500            
05/01/2022   ;905004    ;ASSURANCES        ;12277.720           ;12253.350           ;0.199               ;12468.030           ;12253.350           
05/01/2022   ;905005    ;SERVICES FINANCIER;5860.500            ;5860.490            ;0.000               ;5860.500            ;5849.110            
05/01/2022   ;905008    ;SERVICES AUX CONSO;2751.710            ;2751.790            ;-0.003              ;2758.850            ;2751.710            
