SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2021-01-04,350000,TUNINDEX,6808.14,6884.93,-1.12,6808.14,6808.14,6884.93
2021-01-04,905002,TUNFIN,4098.57,4147.97,-1.19,4098.57,4098.57,4147.97
2021-01-04,905003,TUNBANQ,3747.58,3795.87,-1.27,3747.58,3747.58,3795.87
2021-01-04,905004,TUNASS,12391.18,12585.0,-1.54,12391.18,12391.18,12585.0
2021-01-04,905005,TUNSEFI,5250.24,5222.71,0.53,5250.24,5250.24,5222.71
2021-01-04,905008,TUNSAC,2644.15,2666.51,-0.84,2644.15,2644.15,2666.51
2021-01-04,905009,TUNDIS,4155.8,4188.57,-0.78,4155.8,4155.8,4188.57
2021-01-04,905013,TUNCONS,8588.37,8688.77,-1.16,8588.37,8588.37,8688.77
2021-01-04,905014,TUNAUTO,1297.6,1312.27,-1.12,1297.6,1297.6,1312.27
2021-01-04,905015,TUNALIM,11016.36,11159.3,-1.28,11016.36,11016.36,11159.3
2021-01-04,905016,TUNMENAG,2361.68,2379.81,-0.76,2361.68,2361.68,2379.81
2021-01-04,905017,TUNIND,1469.38,1479.16,-0.66,1469.38,1469.38,1479.16
2021-01-04,905018,TUNBATIM,720.12,724.22,-0.57,720.12,720.12,724.22
2021-01-04,905020,TUNBASE,2898.31,2933.75,-1.21,2898.31,2898.31,2933.75
2021-01-04,905028,TUNINDEX20,2933.56,2975.25,-1.4,2933.56,2933.56,2975.25
2021-01-05,350000,TUNINDEX,6768.02,6808.14,-0.59,6808.14,6768.02,6884.93
2021-01-05,905002,TUNFIN,4075.65,4098.57,-0.56,4098.57,4075.65,4147.97
2021-01-05,905003,TUNBANQ,3725.2,3747.58,-0.6,3747.58,3725.2,3795.87
2021-01-05,905004,TUNASS,12335.76,12391.18,-0.45,12391.18,12335.76,12585.0
2021-01-05,905005,TUNSEFI,5248.33,5250.24,-0.04,5250.24,5248.33,5222.71
2021-01-05,905008,TUNSAC,2624.29,2644.15,-0.75,2644.15,2624.29,2666.51
2021-01-05,905009,TUNDIS,4117.87,4155.8,-0.91,4155.8,4117.87,4188.57
2021-01-05,905013,TUNCONS,8559.5,8588.37,-0.34,8588.37,8559.5,8688.77
2021-01-05,905014,TUNAUTO,1285.38,1297.6,-0.94,1297.6,1285.38,1312.27
2021-01-05,905015,TUNALIM,10982.86,11016.36,-0.3,11016.36,10982.86,11159.3
2021-01-05,905016,TUNMENAG,2352.35,2361.68,-0.4,2361.68,2352.35,2379.81
2021-01-05,905017,TUNIND,1451.24,1469.38,-1.23,1469.38,1451.24,1479.16
2021-01-05,905018,TUNBATIM,709.66,720.12,-1.45,720.12,709.66,724.22
2021-01-05,905020,TUNBASE,2859.82,2898.31,-1.33,2898.31,2859.82,2933.75
2021-01-05,905028,TUNINDEX20,2914.01,2933.56,-0.67,2933.56,2914.01,2975.25
2021-01-06,350000,TUNINDEX,6742.79,6768.02,-0.37,6808.14,6742.79,6884.93
2021-01-06,905002,TUNFIN,4063.62,4075.65,-0.3,4098.57,4063.62,4147.97
2021-01-06,905003,TUNBANQ,3716.38,3725.2,-0.24,3747.58,3716.38,3795.87
2021-01-06,905004,TUNASS,12167.24,12335.76,-1.37,12391.18,12167.24,12585.0
2021-01-06,905005,TUNSEFI,5236.73,5248.33,-0.22,5250.24,5236.73,5222.71
2021-01-06,905008,TUNSAC,2612.46,2624.29,-0.45,2644.15,2612.46,2666.51
2021-01-06,905009,TUNDIS,4102.73,4117.87,-0.37,4155.8,4102.73,4188.57
2021-01-06,905013,TUNCONS,8537.69,8559.5,-0.25,8588.37,8537.69,8688.77
2021-01-06,905014,TUNAUTO,1266.12,1285.38,-1.5,1297.6,1266.12,1312.27
2021-01-06,905015,TUNALIM,10936.71,10982.86,-0.42,11016.36,10936.71,11159.3
2021-01-06,905016,TUNMENAG,2360.54,2352.35,0.35,2361.68,2352.35,2379.81
2021-01-06,905017,TUNIND,1440.15,1451.24,-0.76,1469.38,1440.15,1479.16
2021-01-06,905018,TUNBATIM,705.4,709.66,-0.6,720.12,705.4,724.22
2021-01-06,905020,TUNBASE,2837.36,2859.82,-0.79,2898.31,2837.36,2933.75
2021-01-06,905028,TUNINDEX20,2903.51,2914.01,-0.36,2933.56,2903.51,2975.25
2021-01-07,350000,TUNINDEX,6721.82,6742.79,-0.31,6808.14,6721.82,6884.93
2021-01-07,905002,TUNFIN,4026.57,4063.62,-0.91,4098.57,4026.57,4147.97
2021-01-07,905003,TUNBANQ,3678.53,3716.38,-1.02,3747.58,3678.53,3795.87
2021-01-07,905004,TUNASS,11958.07,12167.24,-1.72,12391.18,11958.07,12585.0
2021-01-07,905005,TUNSEFI,5321.56,5236.73,1.62,5321.56,5236.73,5222.71
2021-01-07,905008,TUNSAC,2605.15,2612.46,-0.28,2644.15,2605.15,2666.51
2021-01-07,905009,TUNDIS,4090.48,4102.73,-0.3,4155.8,4090.48,4188.57
2021-01-07,905013,TUNCONS,8562.38,8537.69,0.29,8588.37,8537.69,8688.77
2021-01-07,905015,TUNALIM,10991.91,10936.71,0.5,11016.36,10936.71,11159.3
2021-01-07,905016,TUNMENAG,2353.09,2360.54,-0.32,2361.68,2352.35,2379.81
2021-01-07,905017,TUNIND,1449.22,1440.15,0.63,1469.38,1440.15,1479.16
2021-01-07,905018,TUNBATIM,710.62,705.4,0.74,720.12,705.4,724.22
2021-01-07,905020,TUNBASE,2871.02,2837.36,1.19,2898.31,2837.36,2933.75
2021-01-07,905028,TUNINDEX20,2894.16,2903.51,-0.32,2933.56,2894.16,2975.25
2021-01-08,350000,TUNINDEX,6743.51,6721.82,0.32,6808.14,6721.82,6884.93
2021-01-08,905002,TUNFIN,4034.38,4026.57,0.19,4098.57,4026.57,4147.97
2021-01-08,905003,TUNBANQ,3683.4,3678.53,0.13,3747.58,3678.53,3795.87
2021-01-08,905004,TUNASS,12039.35,11958.07,0.68,12391.18,11958.07,12585.0
2021-01-08,905005,TUNSEFI,5360.94,5321.56,0.74,5360.94,5236.73,5222.71
2021-01-08,905008,TUNSAC,2584.88,2605.15,-0.78,2644.15,2584.88,2666.51
2021-01-08,905009,TUNDIS,4051.87,4090.48,-0.94,4155.8,4051.87,4188.57
2021-01-08,905013,TUNCONS,8591.28,8562.38,0.34,8591.28,8537.69,8688.77
2021-01-08,905015,TUNALIM,11026.51,10991.91,0.31,11026.51,10936.71,11159.3
2021-01-08,905016,TUNMENAG,2362.79,2353.09,0.41,2362.79,2352.35,2379.81
2021-01-08,905017,TUNIND,1463.69,1449.22,1.0,1469.38,1440.15,1479.16
2021-01-08,905018,TUNBATIM,720.16,710.62,1.34,720.16,705.4,724.22
2021-01-08,905020,TUNBASE,2883.33,2871.02,0.43,2898.31,2837.36,2933.75
2021-01-08,905028,TUNINDEX20,2904.13,2894.16,0.34,2933.56,2894.16,2975.25
2021-01-11,350000,TUNINDEX,6729.02,6743.51,-0.21,6808.14,6721.82,6884.93
2021-01-11,905002,TUNFIN,4004.67,4034.38,-0.74,4098.57,4004.67,4147.97
2021-01-11,905003,TUNBANQ,3654.3,3683.4,-0.79,3747.58,3654.3,3795.87
2021-01-11,905004,TUNASS,12042.62,12039.35,0.03,12391.18,11958.07,12585.0
2021-01-11,905005,TUNSEFI,5329.64,5360.94,-0.58,5360.94,5236.73,5222.71
2021-01-11,905008,TUNSAC,2620.63,2584.88,1.38,2644.15,2584.88,2666.51
2021-01-11,905009,TUNDIS,4107.07,4051.87,1.36,4155.8,4051.87,4188.57
2021-01-11,905013,TUNCONS,8629.0,8591.28,0.44,8629.0,8537.69,8688.77
2021-01-11,905015,TUNALIM,11093.6,11026.51,0.61,11093.6,10936.71,11159.3
2021-01-11,905016,TUNMENAG,2360.13,2362.79,-0.11,2362.79,2352.35,2379.81
2021-01-11,905017,TUNIND,1461.09,1463.69,-0.18,1469.38,1440.15,1479.16
2021-01-11,905018,TUNBATIM,717.88,720.16,-0.32,720.16,705.4,724.22
2021-01-11,905020,TUNBASE,2860.2,2883.33,-0.8,2898.31,2837.36,2933.75
2021-01-11,905028,TUNINDEX20,2897.69,2904.13,-0.22,2933.56,2894.16,2975.25
2021-01-12,350000,TUNINDEX,6734.19,6729.02,0.08,6808.14,6721.82,6884.93
2021-01-12,905002,TUNFIN,4000.61,4004.67,-0.1,4098.57,4000.61,4147.97
2021-01-12,905003,TUNBANQ,3651.13,3654.3,-0.09,3747.58,3651.13,3795.87
2021-01-12,905004,TUNASS,12042.62,12042.62,0.0,12391.18,11958.07,12585.0
2021-01-12,905005,TUNSEFI,5306.49,5329.64,-0.43,5360.94,5236.73,5222.71
2021-01-12,905008,TUNSAC,2624.27,2620.63,0.14,2644.15,2584.88,2666.51
2021-01-12,905009,TUNDIS,4122.51,4107.07,0.38,4155.8,4051.87,4188.57
2021-01-12,905013,TUNCONS,8660.52,8629.0,0.37,8660.52,8537.69,8688.77
2021-01-12,905015,TUNALIM,11126.32,11093.6,0.29,11126.32,10936.71,11159.3
2021-01-12,905016,TUNMENAG,2371.47,2360.13,0.48,2371.47,2352.35,2379.81
2021-01-12,905017,TUNIND,1458.78,1461.09,-0.16,1469.38,1440.15,1479.16
2021-01-12,905018,TUNBATIM,713.74,717.88,-0.58,720.16,705.4,724.22
2021-01-12,905020,TUNBASE,2901.02,2860.2,1.43,2901.02,2837.36,2933.75
2021-01-12,905028,TUNINDEX20,2901.58,2897.69,0.13,2933.56,2894.16,2975.25
2021-01-13,350000,TUNINDEX,6711.41,6734.19,-0.34,6808.14,6711.41,6884.93
2021-01-13,905002,TUNFIN,3990.85,4000.61,-0.24,4098.57,3990.85,4147.97
2021-01-13,905003,TUNBANQ,3640.46,3651.13,-0.29,3747.58,3640.46,3795.87
2021-01-13,905004,TUNASS,12042.62,12042.62,0.0,12391.18,11958.07,12585.0
2021-01-13,905005,TUNSEFI,5322.46,5306.49,0.3,5360.94,5236.73,5222.71
2021-01-13,905008,TUNSAC,2603.99,2624.27,-0.77,2644.15,2584.88,2666.51
2021-01-13,905009,TUNDIS,4079.2,4122.51,-1.05,4155.8,4051.87,4188.57
2021-01-13,905013,TUNCONS,8626.68,8660.52,-0.39,8660.52,8537.69,8688.77
2021-01-13,905015,TUNALIM,11073.29,11126.32,-0.48,11126.32,10936.71,11159.3
