SEANCE,CODE,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,CAPITAUX
2018-02-01,"725001                   ADWYA                    5,35         5,35",,5.39,5.25,5.39,29267,15635.5
2018-02-01,"340005                   AMEN BANK               24,35        24,35",24.3824,24.0,24.0,24.38,151912,36918.0
2018-02-01,"730001                   ARTES                    6,27          6,2",,6.1,6.09,6.27,35875672,19020.05
2018-02-01,714001                   ASSAD                       9            9,0.0,9.0,0.0,0.0,0,
2018-02-01,"360035                   ATB                      4,22         4,22",,4.18,4.15,4.18,37057,15465.9
2018-02-01,"774001                   ATELIER MEUBLE INT       2,48         2,48",,2.49,2.42,2.49,1953,472.25
2018-02-01,"470010                   ATL                      3,17         3,09",,3.09,3.09,3.17,6022,1860.34
2018-02-01,"160015                   ATTIJARI BANK              36         36,4",3636.6,36.6,35.8,36.6,11307564,5585.49
2018-02-01,"661001                   ATTIJARI LEASING        17,72        17,72",,17.88,17.88,17.93,2024,3617.06
2018-02-01,"190060                   BH                         18         18,5",1818.48,18.48,17.8,18.48,710842,127604.9
2018-02-01,180045                   BIAT                      120          122,120118.1,118.1,118.0,120.0,289739,342446.0
2018-02-01,"310060                   BNA                     11,96         11,7",,11.61,11.61,11.96,13572241,60551.85
2018-02-01,"220005                   BT                       8,05          8,1",,7.81,7.81,8.05,64695705,7662.25
2018-02-01,"759001                   CELLCOM                  1,89         1,89",,1.89,1.89,1.89,1602,302.4
2018-02-01,"420085                   CIL                     16,35        16,35",,16.84,16.35,16.48,8446,13852.96
2018-02-01,"755001                   CITY CARS                10,6         10,6",,10.75,10.6,10.75,767914,81442.4
2018-02-01,"767001                   DELICE HOLDING           16,5         16,5",,16.5,16.01,16.5,659191,5611.16
2018-02-01,"665001                   ELECTROSTAR              2,58         2,65",,2.65,2.58,2.65,48714,1283.55
2018-02-01,"741001                   ENNAKL AUTOMOBILES      12,45        12,45",,12.4,12.35,12.6,334015,41425.6
2018-02-01,"721001                   ESSOUKNA                 3,69         3,69",,3.69,3.69,3.69,15004,5535.0
2018-02-01,757001                   EURO-CYCLES                27           27,,26.5,26.2,26.89,6586521,74610.36
2018-02-01,"713001                   GIF-FILTER               1,44         1,44",,1.48,1.42,1.48,489420,7039.95
2018-02-01,"731013                   HANNIBAL LEASE            8,3          8,3",,8.06,8.06,8.06,11,8.06
2018-02-01,"644001                   MAGASIN GENERAL          39,5         39,5",,38.6,38.6,38.6,501,1930.0
2018-02-01,"100010                   MONOPRIX                11,39         11,4",,11.6,11.39,11.6,198010,22766.6
2018-02-01,"762001                   MPBS                     3,15         3,06",,3.12,3.06,3.15,27176,8420.55
2018-02-01,"753001                   ONE TECH HOLDING        13,36        13,34",,13.2,13.2,13.38,370724,48994.04
2018-02-01,"570001                   POULINA GP HOLDING       10,3         10,3",,10.91,10.6,10.91,123615,13210.82
2018-02-01,"761001                   SAH                      15,8        15,95",,15.51,15.35,15.8,10090421,56553.13
2018-02-01,"110025                   SFBT                     19,8         19,8",,19.4,19.22,19.8,270291325,23805.54
2018-02-01,"659001                   SIAME                    2,44         2,41",,2.37,2.37,2.44,951610,
2018-02-01,"400005                   SIMPAR                   42,8         42,8",,42.8,42.8,42.8,2002,8560.0
2018-02-01,"718001                   SITS                     2,38         2,38",,2.35,2.35,2.35,50004,11750.0
2018-02-01,"678001                   SOMOCER                  1,13         1,11",,1.16,1.11,1.16,2363080,26979.44
2018-02-01,"729001                   SOPAT                     ,74          ,74",,0.74,0.74,0.74,10507,777.0
2018-02-01,"653001                   SOTETEL                  2,74         2,74",,2.81,2.66,2.81,531514,14825.47
2018-02-01,"763001                   SOTIPAPIER               3,48         3,48",,3.52,3.48,3.52,265615,9283.25
2018-02-01,"666001                   SOTRAPIL                10,55        10,55",,10.7,10.5,10.7,325220,34354.69
2018-02-01,"658001                   SOTUMAG                  1,98         1,95",,1.93,1.93,1.98,679021,13247.26
2018-02-01,"656001                   SOTUVER                  5,14         5,18",,4.94,4.94,5.14,1430129,71399.2
2018-02-01,606001                   STAR                      100          100,97.498,98.0,97.4,98.0,4106,40174.0
2018-02-01,"260095                   STB                      3,59         3,59",,3.69,3.69,3.69,211,77.49
2018-02-01,"744001                   TELNET HOLDING           5,99         5,95",,5.86,5.83,5.99,250211,14828.37
2018-02-01,"727001                   TPR                       3,7          3,7",,3.48,3.48,3.68,29264781,
2018-02-01,"738001                   TUNIS RE                  8,4         8,38",,8.4,8.25,8.4,871840,73110.64
2018-02-01,"120040                   TUNISAIR                  ,44          ,43",,0.43,0.42,0.44,800118,3441.43
2018-02-01,210090                   TUNISIE LEASING            14           14,,13.81,13.61,13.81,5345,7275.14
2018-02-01,"769001                   UADH                     2,45         2,46",,2.45,2.45,2.45,6365,1558.2
2018-02-01,"390010                   UIB                     22,59        22,59",,22.01,22.01,22.59,417319,92334.27
