SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2021-04-01,TN0001000108,MONOPRIX,6.16,6.02,6.02,6.29,712.0,11.0,4308.75
2021-04-01,TN0001100254,SFBT,19.01,18.8,18.75,19.01,26225.0,8749.0,3305.57
2021-04-01,TN0001200401,TUNISAIR,0.59,0.58,0.58,0.58,22816.0,421.0,3233.28
2021-04-01,TN0001500859,AMS,0.9,0.88,0.88,0.92,2115.0,10.0,1865.2
2021-04-01,TN0001600154,ATTIJARI BANK,27.8,27.0,27.0,27.8,1040.0,162.0,8482.2
2021-04-01,TN0001800457,BIAT,94.3,93.29,93.29,93.5,723.0,156.0,7555.96
2021-04-01,TN0001900604,BH,9.19,8.93,8.92,9.0,2945.0,142.0,6335.15
2021-04-01,TN0002100907,TUNISIE LEASING F,10.29,10.41,10.33,10.59,8892.0,879.0,3043.15
2021-04-01,TN0002200053,BT,6.8,6.66,6.6,6.79,23867.0,8215.0,8601.14
2021-04-01,TN0002600955,STB,3.35,3.36,3.29,3.39,1765.0,6.0,5905.93
2021-04-01,TN0003100609,BNA,8.84,8.6,8.58,8.6,4947.0,204.0,2523.79
2021-04-01,TN0003200755,ICF,70.0,69.8,68.55,69.8,34.0,4.0,2331.96
2021-04-01,TN0003400058,AMEN BANK,21.7,22.3,22.3,22.3,30.0,3.0,669.0
2021-04-01,TN0003600350,ATB,2.86,2.94,2.93,2.94,7882.0,62.0,3150.78
2021-04-01,TN0003900107,UIB,17.14,17.14,17.11,17.2,8388.0,1414.0,4084.61
2021-04-01,TN0004000055,SIMPAR,33.0,33.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,TN0004200853,CIL,16.14,16.35,16.35,16.62,768.0,51.0,2559.23
2021-04-01,TN0004700100,ATL,1.59,1.59,1.56,1.59,2026.0,16.0,3177.61
2021-04-01,TN0005700018,POULINA GP HOLDING,10.39,10.19,10.19,10.35,459.0,7.0,4686.85
2021-04-01,TN0006530018,SOTETEL,4.88,4.84,4.8,4.94,2429.0,191.0,1672.58
2021-04-01,TN0006560015,SOTUVER,6.98,6.87,6.85,6.97,15287.0,3410.0,5328.22
2021-04-01,TN0006580013,SOTUMAG,3.18,3.18,3.18,3.18,63.0,3.0,200.34
2021-04-01,TN0006590012,SIAME,4.09,4.05,3.97,4.05,10999.0,314.0,4043.14
2021-04-01,TN0006610018,ATTIJARI LEASING,11.13,11.0,10.8,11.0,105.0,5.0,1148.0
2021-04-01,TN0006650014,ELECTROSTAR,1.19,1.22,1.16,1.22,850.0,6.0,992.05
2021-04-01,TN0006660013,SOTRAPIL,11.8,12.1,11.71,12.1,18.0,4.0,216.72
2021-04-01,TN0006780019,SOMOCER,1.0,1.04,1.01,1.05,282689.0,23529.0,2555.59
2021-04-01,TN0007130016,GIF-FILTER,1.37,1.31,1.31,1.37,37499.0,914.0,9828.12
