SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2022-03-01,;TN00011002,54;SFBT,18.28,17.99,17.91,18.28,7320,37,13193.0
2022-03-01,;TN00016001,54;ATTIJARI BANK,30.4,30.3,30.0,30.4,855,7,25714.0
2022-03-01,;TN00018004,57;BIAT,59.19,59.0,59.0,60.0,1229,8,73475.0
2022-03-01,;TN00019006,04;BH BANK,9.4,9.19,9.19,9.47,4127,14,38848.0
2022-03-01,;TN00022000,53;BT,5.5,5.38,5.3,5.49,44332,59,23754.0
2022-03-01,;TN00026009,55;STB,2.98,2.84,2.84,2.96,94183,26,27357.0
2022-03-01,;TN00031006,09;BNA,7.52,7.7,7.52,7.82,7051,32,53199.0
2022-03-01,;TN00032007,55;ICF,81.0,80.0,80.0,80.0,33,1,2640.0
2022-03-01,;TN00034000,58;AMEN BANK,24.2,24.25,24.2,24.35,392,15,9499.0
2022-03-01,;TN00036003,50;ATB,2.29,2.35,2.22,2.36,14223,24,31836.0
2022-03-01,;TN00039001,07;UIB,15.7,15.0,15.0,15.3,280,4,4260.0
2022-03-01,;TN00047001,00;ATL,1.82,1.83,1.83,1.83,1,1,1.83
2022-03-01,;TN00057000,18;POULINA GP HOL,11.4,11.0,11.0,11.0,386,9,4246.0
2022-03-01,;TN00065300,18;SOTETEL,2.82,2.79,2.7,2.8,7364,23,19984.0
2022-03-01,;TN00065600,15;SOTUVER,7.32,7.25,7.0,7.36,723,7,5181.0
2022-03-01,;TN00065800,13;SOTUMAG,3.8,3.86,3.8,3.94,1395,31,5375.0
2022-03-01,;TN00065900,12;SIAME,4.31,4.28,4.2,4.34,1274,16,5460.0
2022-03-01,;TN00066100,18;ATTIJARI LEASI,12.0,12.72,12.1,12.1,40,5,484.0
2022-03-01,;TN00066600,13;SOTRAPIL,12.85,13.5,13.1,13.5,160,4,2147.0
2022-03-01,;TN00067800,19;SOMOCER,0.85,0.85,0.82,0.85,30654,20,25693.0
2022-03-01,;TN00072500,12;ADWYA,4.75,4.75,0.0,0.0,0,0,0.0
2022-03-01,;TN00072700,10;TPR,4.37,4.37,4.2,4.37,18477,40,77672.0
2022-03-01,;TN00072900,18;SOPAT,1.3,1.36,1.35,1.36,158,7,214.8
2022-03-01,;TN00073000,15;ARTES,6.18,6.18,6.15,6.18,139482,13,85781.0
2022-03-01,;TN00074000,13;CARTHAGE CEMEN,1.32,1.3,1.29,1.32,7205,20,9389.0
2022-03-01,;TN00074100,12;ENNAKL AUTOMOB,12.3,12.3,12.3,12.3,3002,29,36924.0
2022-03-01,;TN00074400,19;TELNET HOLDING,8.43,8.4,8.25,8.49,188,8,1574.0
2022-03-01,;TN00075100,19;LAND OR,8.8,8.8,0.0,0.0,0,0,0.0
2022-03-01,;TN00075300,17;ONE TECH HOLDI,8.67,8.84,8.67,8.9,3660,26,32345.0
2022-03-01,;TN00075400,16;NEW BODY LINE,5.48,5.8,5.5,5.8,24644,86,14169.0
2022-03-01,;TN00075500,15;CITY CARS,11.0,11.22,11.22,11.23,205,4,2302.0
2022-03-01,;TN00075700,13;EURO-CYCLES,32.44,32.01,32.01,32.79,1339,22,43305.0
2022-03-01,;TN00076100,17;SAH,11.18,10.9,10.9,11.18,4024,23,44236.0
2022-03-01,;TN00076200,16;MPBS,5.2,5.18,5.18,5.25,2494,9,12919.0
2022-03-01,;TN00076300,15;SOTIPAPIER,5.68,5.71,5.71,5.71,10,1,57.1
2022-03-01,;TN00076700,11;DELICE HOLDING,15.0,15.0,15.0,15.0,1900,9,28500.0
2022-03-01,;TN00077200,14;UNIMED,7.41,7.29,7.2,7.44,12743,23,92953.0
2022-03-01,;TN00077400,12;ATELIER MEUBLE,2.8,2.8,2.7,2.83,378,6,1053.0
2022-03-01,;TNQPQXRODT,H8;SMART TUNISIE,27.1,27.0,26.7,27.1,13649,55,36777.0
2022-03-01,;TN00010001,08;MONOPRIX,4.65,4.65,4.65,4.65,744,3,3459.0
2022-03-01,;TN00013005,57;BTE (ADP),7.33,7.33,7.33,7.33,726,2,5321.0
2022-03-01,;TN00014007,04;SPDIT - SICAF,8.47,8.7,8.7,8.7,2,1,17.4
2022-03-01,;TN00021009,07;TUNISIE LEASIN,9.05,9.05,0.0,0.0,0,0,0.0
2022-03-01,;TN00023003,58;AIR LIQUIDE TS,102.72,101.5,101.5,101.5,29,1,2943.0
2022-03-01,;TN00024005,05;UBCI,19.8,19.8,0.0,0.0,0,0,0.0
2022-03-01,;TN00025006,50;PLAC. TSIE-SIC,44.14,44.14,0.0,0.0,0,0,0.0
2022-03-01,;TN00030004,52;ASTREE,56.2,56.2,0.0,0.0,0,0,0.0
2022-03-01,;TN00040000,55;SIMPAR,35.0,35.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00041002,02;TUNINVEST-SICA,11.88,11.88,0.0,0.0,0,0,0.0
2022-03-01,;TN00042008,53;CIL,17.25,17.25,0.0,0.0,0,0,0.0
2022-03-01,;TN00050300,10;STIP,2.5,2.5,0.0,0.0,0,0,0.0
2022-03-01,;TN00060600,16;STAR,121.99,121.99,0.0,0.0,0,0,0.0
2022-03-01,;TN00064400,10;MAGASIN GENERA,16.63,16.63,0.0,0.0,0,0,0.0
2022-03-01,;TN00065500,16;BH ASSURANCE,47.5,47.5,0.0,0.0,0,0,0.0
2022-03-01,;TN00067200,49;BH LEASING,1.45,1.5,1.5,1.5,422,2,633.0
2022-03-01,;TN00071800,11;SITS,2.33,2.33,0.0,0.0,0,0,0.0
2022-03-01,;TN00072000,17;WIFACK INT BAN,7.3,6.98,6.98,6.98,500,2,3490.0
2022-03-01,;TN00072100,16;ESSOUKNA,2.06,1.97,1.97,1.97,6779,4,13354.0
2022-03-01,;TN00073101,39;HANNIBAL LEASE,2.91,2.91,0.0,0.0,0,0,0.0
2022-03-01,;TN00073500,10;CIMENTS DE BIZ,2.18,2.09,0.0,0.0,0,0,0.0
2022-03-01,;TN00073800,17;TUNIS RE,7.14,7.14,7.14,7.14,264,1,1884.0
2022-03-01,;TN00075800,12;BEST LEASE,2.38,2.28,0.0,0.0,0,0,0.0
2022-03-01,;TN00076000,18;SOTEMAIL,3.05,3.05,0.0,0.0,0,0,0.0
2022-03-01,;TN00076400,14;CEREALIS,9.0,9.0,9.0,9.0,900,6,8100.0
2022-03-01,;TN00077000,16;OFFICEPLAST,1.72,1.68,1.68,1.68,50,2,84.0
2022-03-01,;TN00078300,11;ASSUR MAGHREBI,63.88,63.88,0.0,0.0,0,0,0.0
2022-03-01,;TN00043003,07;SITEX,6.09,6.09,0.0,0.0,0,0,0.0
2022-03-01,;TN00061700,13;STE TUN. DU SU,8.14,8.14,0.0,0.0,0,0,0.0
2022-03-01,;TN00076800,10;ASS MULTI ITTI,2.02,2.0,2.0,2.0,3973,11,7946.0
2022-03-01,;TN00013006,07;BTE0930 5.85%A,20100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00013006,23;BTE0232 6.25%P,20100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00013006,56;BTEB0124 7.55%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00013006,64;BTE A0125 11%,599.75,99.75,0.0,0.0,0,0,0.0
2022-03-01,;TN00013006,72;BTEA0125 T+2.7,55100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00013006,"80;""BTEB0127 11,5",,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00013006,"98;""BTEB0127T+3,2",,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00016004,93;TJARISB05247.5,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019008,36;BH1224 T+0.8%P,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019008,44;BH1224 5.3%P15,-295.0,95.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019009,50;BHSB0523 7.5%A,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,24;BHS A0423 7.7%,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,32;BHS A0423 T+2%,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,40;BHSB0425 7.85%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,57;BHSB0425T+2.1%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,65;BHS C0425 8% I,7100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,73;BH SA0324 10%,5104.5,104.5,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,81;BH SA0324 T+2.,15102.0,102.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019010,99;BHSB0324 10.2%,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019011,07;BHSB0324T+2.3%,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019011,15;BH SC0326 10.3,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00019011,23;BH SC0326T+2.6,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021018,97;TLB0323 7.75%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021019,13;TLB0423 7.75%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021019,39;TLSB0324 7.85%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021019,62;TLS B0624 7.8%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021019,70;TLS A0223 7.95,599.18,99.18,0.0,0.0,0,0,0.0
2022-03-01,;TN00021019,88;TLSB0225 8.20%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021019,96;TL A 0523 7.95,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021020,02;TL A0523 T+2.3,5100.34,100.34,0.0,0.0,0,0,0.0
2022-03-01,;TN00021020,10;TL B0525 8.2%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021020,69;TLFSA 0124 10.,6599.4,99.4,0.0,0.0,0,0,0.0
2022-03-01,;TN00021020,77;TLFSA 0124T+2.,75100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021020,85;TLFSB 0126 11%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021020,93;TLFSB 0126T+3%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021021,01;TL A 0624 11.4,5100.48,100.48,0.0,0.0,0,0,0.0
2022-03-01,;TN00021021,19;TL A0624 T+2.7,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021021,27;TL B0626 11.7%,,102.63,0.0,0.0,0,0,0.0
2022-03-01,;TN00021021,35;TLS 0525 11.6%,5106.0,106.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021021,"43;""TLS S0126 10,",255100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00021021,50;TLFA0426 9.70%,5100.0,100.0,100.0,100.0,15000,1,16060.0
2022-03-01,;TN00026009,97;STB0524 T+1.5%,16100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026010,03;STB0528T+1.75%,20100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026010,11;STB0533 T+2.0%,25100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026010,29;STB0225 6.5%AP,16100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026010,45;STB0325 5.30%P,1594.5,94.5,0.0,0.0,0,0,0.0
2022-03-01,;TN00026011,44;STB SA1124 10.,55100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026011,51;STB SA1124T+2.,35100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026011,69;STB SC1126 11%,,105.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026011,77;STBSC1126T+2.8,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026011,"85;""STBSD1126 11,",57100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026011,"93;""STBSE1124 11,",55100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026012,01;STB SA0425 10.,55100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026012,19;STB SC0427 11%,,106.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00026012,"27;""STBSE0425 11,",35100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00031006,74;BNA0424 5.4%AP,1595.9,95.9,0.0,0.0,0,0,0.0
2022-03-01,;TN00031007,16;BNASB0524 7.55,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00031007,57;BNASA0823 8.25,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00031007,65;BNASA0823 T+2%,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00031007,73;BNASB0825 8.5%,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00031007,81;BNASB825T+2.25,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034003,22;AB0523 6.5%AP1,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034003,30;AB0528 7.0%AP2,100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034003,48;ABsb0924 5.45%,15100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034003,55;ABsb0924 T+0.8,515100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034004,05;AB0825 T+0.85%,15100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034005,38;ABSB1123 7.5%A,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034005,53;ABSB0424 7.55A,,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034005,61;AB SC0424 7.7%,7100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034006,52;AB SA0226 9% A,5100.0,100.0,0.0,0.0,0,0,0.0
2022-03-01,;TN00034006,"60;""AB SB0226 9,2",599.6,6099.66,0.0,0.0,0,0,0.0
2022-03-01,;TN00034006,"78;""ABSC0228 9,4%",,500100.5,0.0,0.0,0,0,0.0
