SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2009-01-02,905001,TUNINDEX,2927.18,2892.4,1.2,2932.48,2884.83,2929.45
2009-01-02,905002,INDSF,2062.55,2034.13,1.4,2062.55,2026.51,2036.63
2009-01-02,905003,INDBQ,1904.57,1876.72,1.48,1904.57,1868.08,1879.35
2009-01-02,905005,INSFI,3016.23,2978.71,1.26,3016.23,2981.44,2982.05
2009-01-02,905008,INDSC,2267.42,2241.49,1.16,2487.11,2224.12,2487.11
2009-01-02,905009,INDDI,2838.03,2800.35,1.35,2838.03,2771.0,2775.48
2009-01-02,905013,INBCO,1589.07,1590.21,-0.07,1600.99,1583.27,1596.05
2009-01-02,905014,INAUE,1353.07,1325.34,2.09,1353.68,1340.77,1352.63
2009-01-02,905017,INDIN,771.72,761.25,1.38,774.58,755.56,755.56
2009-01-02,905018,INBMC,699.76,689.06,1.55,702.43,681.04,681.04
2009-01-02,905020,INDMB,1330.81,1318.41,0.94,1335.17,1330.81,1332.38
2009-01-05,905001,TUNINDEX,2955.7,2927.18,0.97,2955.7,2929.06,2934.83
2009-01-05,905002,INDSF,2079.93,2062.55,0.84,2079.96,2064.23,2067.27
2009-01-05,905003,INDBQ,1918.45,1904.57,0.73,1918.49,1905.11,1908.45
2009-01-05,905005,INSFI,3096.38,3016.23,2.66,3096.38,3016.5,3038.76
2009-01-05,905008,INDSC,2299.08,2267.42,1.4,2299.08,2260.34,2281.62
2009-01-05,905009,INDDI,2877.15,2838.03,1.38,2877.15,2814.71,2842.7
2009-01-05,905013,INBCO,1607.77,1589.07,1.18,1610.74,1590.25,1590.25
2009-01-05,905014,INAUE,1418.61,1353.07,4.84,1418.61,1374.07,1395.06
2009-01-05,905017,INDIN,772.63,771.72,0.12,782.21,768.84,775.51
2009-01-05,905018,INBMC,705.11,699.76,0.76,707.78,699.76,705.11
2009-01-05,905020,INDMB,1365.76,1330.81,2.63,1365.76,1336.4,1336.4
2009-01-06,905001,TUNINDEX,2960.62,2955.7,0.17,2974.49,2950.26,2960.16
2009-01-06,905002,INDSF,2074.02,2079.93,-0.28,2084.5,2068.22,2080.61
2009-01-06,905003,INDBQ,1909.64,1918.45,-0.46,1921.13,1903.61,1919.16
2009-01-06,905005,INSFI,3126.59,3096.38,0.98,3147.45,3122.15,3122.15
2009-01-06,905008,INDSC,2294.1,2299.08,-0.22,2336.01,2268.14,2301.08
2009-01-06,905009,INDDI,2876.86,2877.15,-0.01,2926.91,2839.15,2880.26
2009-01-06,905013,INBCO,1653.7,1607.77,2.86,1657.1,1618.37,1618.37
2009-01-06,905014,INAUE,1469.46,1418.61,3.58,1479.94,1447.4,1447.4
2009-01-06,905017,INDIN,766.94,772.63,-0.74,777.81,761.92,776.42
2009-01-06,905018,INBMC,695.13,705.11,-1.42,710.46,692.12,710.46
2009-01-06,905020,INDMB,1398.63,1365.76,2.41,1400.68,1381.13,1385.32
2009-01-07,905001,TUNINDEX,2947.59,2960.62,-0.44,2967.83,2944.69,2964.76
2009-01-07,905002,INDSF,2067.66,2074.02,-0.31,2080.27,2065.85,2077.33
2009-01-07,905003,INDBQ,1905.66,1909.64,-0.21,1916.97,1903.37,1913.68
2009-01-07,905005,INSFI,3103.67,3126.59,-0.73,3118.84,3077.82,3117.4
2009-01-07,905008,INDSC,2282.42,2294.1,-0.51,2296.29,2269.13,2292.09
2009-01-07,905009,INDDI,2861.25,2876.86,-0.54,2875.3,2840.67,2873.75
2009-01-07,905013,INBCO,1635.37,1653.7,-1.11,1658.42,1633.46,1655.72
2009-01-07,905014,INAUE,1455.39,1469.46,-0.96,1491.51,1451.86,1478.91
2009-01-07,905017,INDIN,765.24,766.94,-0.22,772.63,765.24,772.63
2009-01-07,905018,INBMC,690.03,695.13,-0.73,703.15,690.03,703.15
2009-01-07,905020,INDMB,1385.96,1398.63,-0.91,1409.2,1380.37,1398.63
2009-01-08,905001,TUNINDEX,2948.39,2947.59,0.03,2958.54,2939.91,2948.84
2009-01-08,905002,INDSF,2071.42,2067.66,0.18,2078.78,2063.78,2069.25
2009-01-08,905003,INDBQ,1910.52,1905.66,0.26,1917.0,1903.24,1907.52
2009-01-08,905005,INSFI,3058.66,3103.67,-1.45,3099.73,3050.71,3099.73
2009-01-08,905008,INDSC,2267.03,2282.42,-0.67,2288.07,2260.74,2282.42
2009-01-08,905009,INDDI,2844.85,2861.25,-0.57,2872.48,2830.16,2861.25
2009-01-08,905013,INBCO,1636.06,1635.37,0.04,1641.27,1627.47,1641.27
2009-01-08,905014,INAUE,1456.88,1455.39,0.1,1456.88,1444.29,1451.2
2009-01-08,905017,INDIN,762.07,765.24,-0.41,767.09,756.95,762.4
2009-01-08,905018,INBMC,689.63,690.03,-0.06,692.64,677.01,686.02
2009-01-08,905020,INDMB,1384.56,1385.96,-0.1,1385.96,1377.58,1385.96
2009-01-09,905001,TUNINDEX,2957.19,2948.39,0.3,2960.86,2948.82,2948.82
2009-01-09,905002,INDSF,2079.29,2071.42,0.38,2079.94,2069.96,2069.96
2009-01-09,905003,INDBQ,1916.25,1910.52,0.3,1916.39,1907.57,1907.57
2009-01-09,905005,INSFI,3105.82,3058.66,1.54,3117.19,3088.5,3088.5
2009-01-09,905008,INDSC,2278.81,2267.03,0.52,2285.67,2258.77,2258.77
2009-01-09,905009,INDDI,2860.61,2844.85,0.55,2866.29,2824.64,2824.64
2009-01-09,905013,INBCO,1630.89,1636.06,-0.32,1649.13,1630.89,1647.84
2009-01-09,905014,INAUE,1460.27,1456.88,0.23,1478.33,1456.88,1456.88
2009-01-09,905017,INDIN,771.05,762.07,1.18,776.66,765.74,765.87
2009-01-09,905018,INBMC,698.23,689.63,1.25,710.19,694.33,694.97
2009-01-09,905020,INDMB,1375.19,1384.56,-0.68,1390.15,1375.19,1390.15
2009-01-12,905001,TUNINDEX,2997.18,2957.19,1.35,2997.18,2965.2,2965.2
2009-01-12,905002,INDSF,2106.16,2079.29,1.29,2106.16,2083.68,2083.68
2009-01-12,905003,INDBQ,1943.8,1916.25,1.44,1943.8,1919.62,1919.62
2009-01-12,905005,INSFI,3122.04,3105.82,0.52,3138.73,3098.81,3131.84
2009-01-12,905008,INDSC,2353.27,2278.81,3.27,2353.27,2282.38,2282.38
2009-01-12,905009,INDDI,2970.95,2860.61,3.86,2970.95,2866.14,2866.14
2009-01-12,905013,INBCO,1637.53,1630.89,0.41,1640.02,1631.37,1639.18
2009-01-12,905014,INAUE,1464.46,1460.27,0.29,1486.41,1458.0,1476.97
2009-01-12,905017,INDIN,779.4,771.05,1.08,780.46,769.52,777.79
2009-01-12,905018,INBMC,701.87,698.23,0.52,704.91,695.97,704.91
2009-01-12,905020,INDMB,1377.18,1375.19,0.14,1384.97,1374.39,1383.57
2009-01-13,905001,TUNINDEX,3005.46,2997.18,0.28,3015.29,2995.89,2996.18
2009-01-13,905002,INDSF,2115.45,2106.16,0.44,2122.18,2104.11,2104.11
2009-01-13,905003,INDBQ,1951.15,1943.8,0.38,1958.55,1941.37,1941.37
2009-01-13,905005,INSFI,3161.15,3122.04,1.25,3163.04,3127.8,3127.8
2009-01-13,905008,INDSC,2347.71,2353.27,-0.24,2375.38,2339.21,2355.28
2009-01-13,905009,INDDI,2964.82,2970.95,-0.21,3005.17,2949.18,2974.06
2009-01-13,905013,INBCO,1639.28,1637.53,0.11,1642.82,1635.01,1642.57
2009-01-13,905014,INAUE,1474.85,1464.46,0.71,1488.01,1471.54,1488.01
2009-01-13,905017,INDIN,772.66,779.4,-0.86,775.61,762.59,775.61
2009-01-13,905018,INBMC,695.08,701.87,-0.97,696.53,680.9,696.52
2009-01-13,905020,INDMB,1381.41,1377.18,0.31,1384.21,1379.98,1379.98
2009-01-14,905001,TUNINDEX,3002.43,3005.46,-0.1,3012.24,3000.35,3012.24
2009-01-14,905002,INDSF,2114.03,2115.45,-0.07,2120.24,2111.6,2120.24
2009-01-14,905003,INDBQ,1950.64,1951.15,-0.03,1955.6,1947.33,1955.6
2009-01-14,905005,INSFI,3150.11,3161.15,-0.35,3173.71,3150.11,3173.71
2009-01-14,905008,INDSC,2338.1,2347.71,-0.41,2357.55,2324.09,2349.15
2009-01-14,905009,INDDI,2964.77,2964.82,0.0,2977.57,2935.39,2964.56
2009-01-14,905013,INBCO,1627.99,1639.28,-0.69,1645.17,1624.2,1645.17
2009-01-14,905014,INAUE,1487.01,1474.85,0.82,1489.55,1474.85,1474.85
2009-01-14,905017,INDIN,786.52,772.66,1.79,790.31,777.27,777.4
2009-01-14,905018,INBMC,713.25,695.08,2.61,718.6,697.7,697.7
2009-01-14,905020,INDMB,1378.58,1381.41,-0.2,1387.0,1375.83,1387.0
2009-01-15,905001,TUNINDEX,2984.68,3002.43,-0.59,3006.23,2984.68,3001.74
