SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2024-02-01,905001,TUNINDEX          ,8691.005,8750.593,-0.681,8691.005,8691.005
2024-02-01,905002,STES FINANCIERES  ,6495.221,6551.611,-0.861,6495.221,6495.221
2024-02-01,905003,BANQUES           ,6053.854,6100.649,-0.767,6053.854,6053.854
2024-02-01,905004,ASSURANCES        ,13901.307,14241.789,-2.391,13901.307,13901.307
2024-02-01,905005,SERVICES FINANCIER,9137.343,9184.661,-0.515,9137.343,9137.343
2024-02-01,905008,SERVICES AUX CONSO,2995.579,3002.473,-0.23,2995.579,2995.579
2024-02-01,905009,DISTRIBUTION      ,4719.522,4730.382,-0.23,4719.522,4719.522
2024-02-01,905013,BIENS CONSOMMATION,7007.386,7022.052,-0.209,7007.386,7007.386
2024-02-01,905015,AGROALIMENT BOISSO,8712.78,8729.508,-0.192,8712.78,8712.78
2024-02-01,905016,PROD MENAGER SOIN ,2165.76,2171.18,-0.25,2165.76,2165.76
2024-02-01,905017,INDUSTRIES        ,1634.879,1659.142,-1.462,1634.879,1634.879
2024-02-01,905018,BATIM MATE CONSTRU,708.104,707.527,0.082,708.104,708.104
2024-02-01,905020,MATERIAUX DE BASE ,3924.419,3904.979,0.498,3924.419,3924.419
2024-02-01,905028,TUNINDEX20        ,3802.654,3825.735,-0.603,3802.654,3802.654
2024-03-01,905001,TUNINDEX          ,8613.538,8691.005,-0.891,8691.005,8613.538
2024-03-01,905002,STES FINANCIERES  ,6450.87,6495.221,-0.683,6495.221,6450.87
2024-03-01,905003,BANQUES           ,6016.955,6053.854,-0.61,6053.854,6016.955
2024-03-01,905004,ASSURANCES        ,13481.495,13901.307,-3.02,13901.307,13481.495
2024-03-01,905005,SERVICES FINANCIER,9255.542,9137.343,1.294,9255.542,9137.343
2024-03-01,905008,SERVICES AUX CONSO,2965.745,2995.579,-0.996,2995.579,2965.745
2024-03-01,905009,DISTRIBUTION      ,4672.518,4719.522,-0.996,4719.522,4672.518
2024-03-01,905013,BIENS CONSOMMATION,6891.96,7007.386,-1.647,7007.386,6891.96
2024-03-01,905015,AGROALIMENT BOISSO,8568.53,8712.78,-1.656,8712.78,8568.53
2024-03-01,905016,PROD MENAGER SOIN ,2131.507,2165.76,-1.582,2165.76,2131.507
2024-03-01,905017,INDUSTRIES        ,1632.23,1634.879,-0.162,1634.879,1632.23
2024-03-01,905018,BATIM MATE CONSTRU,716.699,708.104,1.214,716.699,708.104
2024-03-01,905020,MATERIAUX DE BASE ,3918.944,3924.419,-0.14,3924.419,3918.944
2024-03-01,905028,TUNINDEX20        ,3764.325,3802.654,-1.008,3802.654,3764.325
2024-04-01,905001,TUNINDEX          ,8583.588,8613.538,-0.348,8691.005,8583.588
2024-04-01,905002,STES FINANCIERES  ,6432.599,6450.87,-0.283,6495.221,6432.599
2024-04-01,905003,BANQUES           ,6000.633,6016.955,-0.271,6053.854,6000.633
2024-04-01,905004,ASSURANCES        ,13452.249,13481.495,-0.217,13901.307,13452.249
2024-04-01,905005,SERVICES FINANCIER,9196.859,9255.542,-0.634,9255.542,9137.343
2024-04-01,905008,SERVICES AUX CONSO,2969.12,2965.745,0.114,2995.579,2965.745
2024-04-01,905009,DISTRIBUTION      ,4677.836,4672.518,0.114,4719.522,4672.518
2024-04-01,905013,BIENS CONSOMMATION,6853.858,6891.96,-0.553,7007.386,6853.858
2024-04-01,905015,AGROALIMENT BOISSO,8519.578,8568.53,-0.571,8712.78,8519.578
2024-04-01,905016,PROD MENAGER SOIN ,2120.781,2131.507,-0.503,2165.76,2120.781
2024-04-01,905017,INDUSTRIES        ,1630.199,1632.23,-0.124,1634.879,1630.199
2024-04-01,905018,BATIM MATE CONSTRU,713.584,716.699,-0.435,716.699,708.104
2024-04-01,905020,MATERIAUX DE BASE ,3899.22,3918.944,-0.503,3924.419,3899.22
2024-04-01,905028,TUNINDEX20        ,3752.794,3764.325,-0.306,3802.654,3752.794
2024-05-01,905001,TUNINDEX          ,8553.824,8583.588,-0.347,8691.005,8553.824
2024-05-01,905002,STES FINANCIERES  ,6419.776,6432.599,-0.199,6495.221,6419.776
2024-05-01,905003,BANQUES           ,5990.229,6000.633,-0.173,6053.854,5990.229
2024-05-01,905004,ASSURANCES        ,13370.687,13452.249,-0.606,13901.307,13370.687
2024-05-01,905005,SERVICES FINANCIER,9182.469,9196.859,-0.156,9255.542,9137.343
2024-05-01,905008,SERVICES AUX CONSO,2967.128,2969.12,-0.067,2995.579,2965.745
