SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
02/01/2024   ;905001    ;TUNINDEX          ;8691.005            ;8750.593            ;-0.681              ;8691.005            ;8691.005            
02/01/2024   ;905002    ;STES FINANCIERES  ;6495.221            ;6551.611            ;-0.861              ;6495.221            ;6495.221            
02/01/2024   ;905003    ;BANQUES           ;6053.854            ;6100.649            ;-0.767              ;6053.854            ;6053.854            
02/01/2024   ;905004    ;ASSURANCES        ;13901.307           ;14241.789           ;-2.391              ;13901.307           ;13901.307           
02/01/2024   ;905005    ;SERVICES FINANCIER;9137.343            ;9184.661            ;-0.515              ;9137.343            ;9137.343            
02/01/2024   ;905008    ;SERVICES AUX CONSO;2995.579            ;3002.473            ;-0.230              ;2995.579            ;2995.579            
02/01/2024   ;905009    ;DISTRIBUTION      ;4719.522            ;4730.382            ;-0.230              ;4719.522            ;4719.522            
02/01/2024   ;905013    ;BIENS CONSOMMATION;7007.386            ;7022.052            ;-0.209              ;7007.386            ;7007.386            
02/01/2024   ;905015    ;AGROALIMENT BOISSO;8712.780            ;8729.508            ;-0.192              ;8712.780            ;8712.780            
02/01/2024   ;905016    ;PROD MENAGER SOIN ;2165.760            ;2171.180            ;-0.250              ;2165.760            ;2165.760            
02/01/2024   ;905017    ;INDUSTRIES        ;1634.879            ;1659.142            ;-1.462              ;1634.879            ;1634.879            
02/01/2024   ;905018    ;BATIM MATE CONSTRU;708.104             ;707.527             ;0.082               ;708.104             ;708.104             
02/01/2024   ;905020    ;MATERIAUX DE BASE ;3924.419            ;3904.979            ;0.498               ;3924.419            ;3924.419            
02/01/2024   ;905028    ;TUNINDEX20        ;3802.654            ;3825.735            ;-0.603              ;3802.654            ;3802.654            
03/01/2024   ;905001    ;TUNINDEX          ;8613.538            ;8691.005            ;-0.891              ;8691.005            ;8613.538            
03/01/2024   ;905002    ;STES FINANCIERES  ;6450.870            ;6495.221            ;-0.683              ;6495.221            ;6450.870            
03/01/2024   ;905003    ;BANQUES           ;6016.955            ;6053.854            ;-0.610              ;6053.854            ;6016.955            
03/01/2024   ;905004    ;ASSURANCES        ;13481.495           ;13901.307           ;-3.020              ;13901.307           ;13481.495           
03/01/2024   ;905005    ;SERVICES FINANCIER;9255.542            ;9137.343            ;1.294               ;9255.542            ;9137.343            
03/01/2024   ;905008    ;SERVICES AUX CONSO;2965.745            ;2995.579            ;-0.996              ;2995.579            ;2965.745            
03/01/2024   ;905009    ;DISTRIBUTION      ;4672.518            ;4719.522            ;-0.996              ;4719.522            ;4672.518            
03/01/2024   ;905013    ;BIENS CONSOMMATION;6891.960            ;7007.386            ;-1.647              ;7007.386            ;6891.960            
03/01/2024   ;905015    ;AGROALIMENT BOISSO;8568.530            ;8712.780            ;-1.656              ;8712.780            ;8568.530            
03/01/2024   ;905016    ;PROD MENAGER SOIN ;2131.507            ;2165.760            ;-1.582              ;2165.760            ;2131.507            
03/01/2024   ;905017    ;INDUSTRIES        ;1632.230            ;1634.879            ;-0.162              ;1634.879            ;1632.230            
03/01/2024   ;905018    ;BATIM MATE CONSTRU;716.699             ;708.104             ;1.214               ;716.699             ;708.104             
03/01/2024   ;905020    ;MATERIAUX DE BASE ;3918.944            ;3924.419            ;-0.140              ;3924.419            ;3918.944            
03/01/2024   ;905028    ;TUNINDEX20        ;3764.325            ;3802.654            ;-1.008              ;3802.654            ;3764.325            
04/01/2024   ;905001    ;TUNINDEX          ;8583.588            ;8613.538            ;-0.348              ;8691.005            ;8583.588            
04/01/2024   ;905002    ;STES FINANCIERES  ;6432.599            ;6450.870            ;-0.283              ;6495.221            ;6432.599            
04/01/2024   ;905003    ;BANQUES           ;6000.633            ;6016.955            ;-0.271              ;6053.854            ;6000.633            
04/01/2024   ;905004    ;ASSURANCES        ;13452.249           ;13481.495           ;-0.217              ;13901.307           ;13452.249           
04/01/2024   ;905005    ;SERVICES FINANCIER;9196.859            ;9255.542            ;-0.634              ;9255.542            ;9137.343            
04/01/2024   ;905008    ;SERVICES AUX CONSO;2969.120            ;2965.745            ;0.114               ;2995.579            ;2965.745            
04/01/2024   ;905009    ;DISTRIBUTION      ;4677.836            ;4672.518            ;0.114               ;4719.522            ;4672.518            
04/01/2024   ;905013    ;BIENS CONSOMMATION;6853.858            ;6891.960            ;-0.553              ;7007.386            ;6853.858            
04/01/2024   ;905015    ;AGROALIMENT BOISSO;8519.578            ;8568.530            ;-0.571              ;8712.780            ;8519.578            
04/01/2024   ;905016    ;PROD MENAGER SOIN ;2120.781            ;2131.507            ;-0.503              ;2165.760            ;2120.781            
04/01/2024   ;905017    ;INDUSTRIES        ;1630.199            ;1632.230            ;-0.124              ;1634.879            ;1630.199            
04/01/2024   ;905018    ;BATIM MATE CONSTRU;713.584             ;716.699             ;-0.435              ;716.699             ;708.104             
04/01/2024   ;905020    ;MATERIAUX DE BASE ;3899.220            ;3918.944            ;-0.503              ;3924.419            ;3899.220            
04/01/2024   ;905028    ;TUNINDEX20        ;3752.794            ;3764.325            ;-0.306              ;3802.654            ;3752.794            
05/01/2024   ;905001    ;TUNINDEX          ;8553.824            ;8583.588            ;-0.347              ;8691.005            ;8553.824            
05/01/2024   ;905002    ;STES FINANCIERES  ;6419.776            ;6432.599            ;-0.199              ;6495.221            ;6419.776            
05/01/2024   ;905003    ;BANQUES           ;5990.229            ;6000.633            ;-0.173              ;6053.854            ;5990.229            
05/01/2024   ;905004    ;ASSURANCES        ;13370.687           ;13452.249           ;-0.606              ;13901.307           ;13370.687           
05/01/2024   ;905005    ;SERVICES FINANCIER;9182.469            ;9196.859            ;-0.156              ;9255.542            ;9137.343            
05/01/2024   ;905008    ;SERVICES AUX CONSO;2967.128            ;2969.120            ;-0.067              ;2995.579            ;2965.745            
05/01/2024   ;905009    ;DISTRIBUTION      ;4674.697            ;4677.836            ;-0.067              ;4719.522            ;4672.518            
05/01/2024   ;905013    ;BIENS CONSOMMATION;6823.045            ;6853.858            ;-0.450              ;7007.386            ;6823.045            
05/01/2024   ;905015    ;AGROALIMENT BOISSO;8472.972            ;8519.578            ;-0.547              ;8712.780            ;8472.972            
05/01/2024   ;905016    ;PROD MENAGER SOIN ;2117.521            ;2120.781            ;-0.154              ;2165.760            ;2117.521            
05/01/2024   ;905017    ;INDUSTRIES        ;1618.221            ;1630.199            ;-0.735              ;1634.879            ;1618.221            
05/01/2024   ;905018    ;BATIM MATE CONSTRU;704.428             ;713.584             ;-1.283              ;716.699             ;704.428             
05/01/2024   ;905020    ;MATERIAUX DE BASE ;3887.416            ;3899.220            ;-0.303              ;3924.419            ;3887.416            
05/01/2024   ;905028    ;TUNINDEX20        ;3743.160            ;3752.794            ;-0.257              ;3802.654            ;3743.160            
08/01/2024   ;905001    ;TUNINDEX          ;8515.241            ;8553.824            ;-0.451              ;8691.005            ;8515.241            
08/01/2024   ;905002    ;STES FINANCIERES  ;6399.208            ;6419.776            ;-0.320              ;6495.221            ;6399.208            
08/01/2024   ;905003    ;BANQUES           ;5974.325            ;5990.229            ;-0.266              ;6053.854            ;5974.325            
08/01/2024   ;905004    ;ASSURANCES        ;13276.578           ;13370.687           ;-0.704              ;13901.307           ;13276.578           
08/01/2024   ;905005    ;SERVICES FINANCIER;9097.072            ;9182.469            ;-0.930              ;9255.542            ;9097.072            
08/01/2024   ;905008    ;SERVICES AUX CONSO;2959.441            ;2967.128            ;-0.259              ;2995.579            ;2959.441            
08/01/2024   ;905009    ;DISTRIBUTION      ;4662.587            ;4674.697            ;-0.259              ;4719.522            ;4662.587            
08/01/2024   ;905013    ;BIENS CONSOMMATION;6764.996            ;6823.045            ;-0.851              ;7007.386            ;6764.996            
08/01/2024   ;905015    ;AGROALIMENT BOISSO;8422.201            ;8472.972            ;-0.599              ;8712.780            ;8422.201            
08/01/2024   ;905016    ;PROD MENAGER SOIN ;2082.816            ;2117.521            ;-1.639              ;2165.760            ;2082.816            
08/01/2024   ;905017    ;INDUSTRIES        ;1607.880            ;1618.221            ;-0.639              ;1634.879            ;1607.880            
08/01/2024   ;905018    ;BATIM MATE CONSTRU;697.739             ;704.428             ;-0.950              ;716.699             ;697.739             
08/01/2024   ;905020    ;MATERIAUX DE BASE ;3853.509            ;3887.416            ;-0.872              ;3924.419            ;3853.509            
08/01/2024   ;905028    ;TUNINDEX20        ;3727.844            ;3743.160            ;-0.409              ;3802.654            ;3727.844            
09/01/2024   ;905001    ;TUNINDEX          ;8483.787            ;8515.241            ;-0.369              ;8691.005            ;8483.787            
09/01/2024   ;905002    ;STES FINANCIERES  ;6377.871            ;6399.208            ;-0.333              ;6495.221            ;6377.871            
09/01/2024   ;905003    ;BANQUES           ;5960.363            ;5974.325            ;-0.234              ;6053.854            ;5960.363            
09/01/2024   ;905004    ;ASSURANCES        ;13001.460           ;13276.578           ;-2.072              ;13901.307           ;13001.460           
09/01/2024   ;905005    ;SERVICES FINANCIER;9103.422            ;9097.072            ;0.070               ;9255.542            ;9097.072            
09/01/2024   ;905008    ;SERVICES AUX CONSO;2947.368            ;2959.441            ;-0.408              ;2995.579            ;2947.368            
09/01/2024   ;905009    ;DISTRIBUTION      ;4643.565            ;4662.587            ;-0.408              ;4719.522            ;4643.565            
09/01/2024   ;905013    ;BIENS CONSOMMATION;6741.208            ;6764.996            ;-0.352              ;7007.386            ;6741.208            
09/01/2024   ;905015    ;AGROALIMENT BOISSO;8377.754            ;8422.201            ;-0.528              ;8712.780            ;8377.754            
09/01/2024   ;905016    ;PROD MENAGER SOIN ;2086.830            ;2082.816            ;0.193               ;2165.760            ;2082.816            
09/01/2024   ;905017    ;INDUSTRIES        ;1606.154            ;1607.880            ;-0.107              ;1634.879            ;1606.154            
09/01/2024   ;905018    ;BATIM MATE CONSTRU;701.639             ;697.739             ;0.559               ;716.699             ;697.739             
09/01/2024   ;905020    ;MATERIAUX DE BASE ;3795.010            ;3853.509            ;-1.518              ;3924.419            ;3795.010            
09/01/2024   ;905028    ;TUNINDEX20        ;3715.097            ;3727.844            ;-0.342              ;3802.654            ;3715.097            
10/01/2024   ;905001    ;TUNINDEX          ;8425.591            ;8483.787            ;-0.686              ;8691.005            ;8425.591            
10/01/2024   ;905002    ;STES FINANCIERES  ;6343.089            ;6377.871            ;-0.545              ;6495.221            ;6343.089            
10/01/2024   ;905003    ;BANQUES           ;5938.655            ;5960.363            ;-0.364              ;6053.854            ;5938.655            
10/01/2024   ;905004    ;ASSURANCES        ;12666.446           ;13001.460           ;-2.577              ;13901.307           ;12666.446           
10/01/2024   ;905005    ;SERVICES FINANCIER;8965.786            ;9103.422            ;-1.512              ;9255.542            ;8965.786            
10/01/2024   ;905008    ;SERVICES AUX CONSO;2909.846            ;2947.368            ;-1.273              ;2995.579            ;2909.846            
10/01/2024   ;905009    ;DISTRIBUTION      ;4584.450            ;4643.565            ;-1.273              ;4719.522            ;4584.450            
10/01/2024   ;905013    ;BIENS CONSOMMATION;6679.153            ;6741.208            ;-0.921              ;7007.386            ;6679.153            
10/01/2024   ;905015    ;AGROALIMENT BOISSO;8296.042            ;8377.754            ;-0.975              ;8712.780            ;8296.042            
10/01/2024   ;905016    ;PROD MENAGER SOIN ;2070.894            ;2086.830            ;-0.764              ;2165.760            ;2070.894            
10/01/2024   ;905017    ;INDUSTRIES        ;1595.649            ;1606.154            ;-0.654              ;1634.879            ;1595.649            
10/01/2024   ;905018    ;BATIM MATE CONSTRU;695.707             ;701.639             ;-0.845              ;716.699             ;695.707             
10/01/2024   ;905020    ;MATERIAUX DE BASE ;3795.010            ;3795.010            ;0.000               ;3924.419            ;3795.010            
10/01/2024   ;905028    ;TUNINDEX20        ;3695.266            ;3715.097            ;-0.534              ;3802.654            ;3695.266            
11/01/2024   ;905001    ;TUNINDEX          ;8434.086            ;8425.591            ;0.101               ;8691.005            ;8425.591            
11/01/2024   ;905002    ;STES FINANCIERES  ;6354.119            ;6343.089            ;0.174               ;6495.221            ;6343.089            
11/01/2024   ;905003    ;BANQUES           ;5937.177            ;5938.655            ;-0.025              ;6053.854            ;5937.177            
11/01/2024   ;905004    ;ASSURANCES        ;12962.814           ;12666.446           ;2.340               ;13901.307           ;12666.446           
11/01/2024   ;905005    ;SERVICES FINANCIER;9092.050            ;8965.786            ;1.408               ;9255.542            ;8965.786            
11/01/2024   ;905008    ;SERVICES AUX CONSO;2938.875            ;2909.846            ;0.998               ;2995.579            ;2909.846            
11/01/2024   ;905009    ;DISTRIBUTION      ;4630.184            ;4584.450            ;0.998               ;4719.522            ;4584.450            
11/01/2024   ;905013    ;BIENS CONSOMMATION;6672.578            ;6679.153            ;-0.098              ;7007.386            ;6672.578            
11/01/2024   ;905015    ;AGROALIMENT BOISSO;8232.195            ;8296.042            ;-0.770              ;8712.780            ;8232.195            
11/01/2024   ;905016    ;PROD MENAGER SOIN ;2111.773            ;2070.894            ;1.974               ;2165.760            ;2070.894            
11/01/2024   ;905017    ;INDUSTRIES        ;1581.864            ;1595.649            ;-0.864              ;1634.879            ;1581.864            
